Powdery Foundation,Shiseido,#E2B289,O40,Natural Fair Ochre,32,foundation,NA,108,108.png
Powdery Foundation,Shiseido,#D7A179,O60,Natural Deep Ochre,32,foundation,NA,109,109.png
Luminizing Satin Face Color,Shiseido,#CF7355,RD103,Petal,30,face color,0.22,110,110.png
Luminizing Satin Face Color,Shiseido,#E59282,PK304,Carnation,30,face color,0.22,111,111.png
Luminizing Satin Face Color,Shiseido,#DA8769,OR308,Starfish,30,face color,0.22,112,112.png
OnMakeup Spot Correcting Serum SPF 25,Shiseido,#DEB692,NL,Natural Light,40,concealer,0.16,113,113.png
OnMakeup Spot Correcting Serum SPF 25,Shiseido,#DCB28C,N,Natural,40,concealer,0.16,114,114.png
OnMakeup Spot Correcting Serum SPF 25,Shiseido,#C99A73,M,Medium,40,concealer,0.16,115,115.png
Full Lash Volume Mascara,Shiseido,#000000,BK901,Black,25,mascara,0.29,116,116.png
Full Lash Volume Mascara,Shiseido,#3C2814,BR602,Brown,25,mascara,0.29,117,117.png
Luminizing Satin Eye Color,Shiseido,#DBAD61,YE306,Solaris,25,eye color,0.07,118,118.png
Luminizing Satin Eye Color,Shiseido,#D1A173,GD810,Bullion,25,eye color,0.07,119,119.png
Luminizing Satin Eye Color,Shiseido,#A5B7BB,BL714,Fresco,25,eye color,0.07,120,120.png
Luminizing Satin Eye Color,Shiseido,#B8D6CE,GR222,Fondant,25,eye color,0.07,121,121.png
Luminizing Satin Eye Color,Shiseido,#88A6C6,BL223,Sky,25,eye color,0.07,122,122.png
Veiled Rouge,Shiseido,#C46B71,RD302,Rosalie,25,rouge,0.07,123,123.png
Veiled Rouge,Shiseido,#C38077,BE301,Carrera,25,rouge,0.07,124,124.png
Veiled Rouge,Shiseido,#E16467,OR303,Orangerie,25,rouge,0.07,125,125.png
Veiled Rouge,Shiseido,#F26068,PK304,Skyglow,25,rouge,0.07,126,126.png
Veiled Rouge,Shiseido,#E44F6C,PK405,Pomegranate,25,rouge,0.07,127,127.png
Veiled Rouge,Shiseido,#CC2C3B,RD506,Carnevale,25,rouge,0.07,128,128.png
Veiled Rouge,Shiseido,#A6404B,RD707,Mischief,25,rouge,0.07,129,129.png
Veiled Rouge,Shiseido,#BE4787,RS308,Sloe,25,rouge,0.07,130,130.png
