Synchro Skin Tinted Gel Cream SPF 30,Shiseido,#EACEB8,1,Very Light,40,gel cream,1.5,1
Synchro Skin Tinted Gel Cream SPF 30,Shiseido,#E1BF9B,2,Light,40,gel cream,1.5,2
Synchro Skin Tinted Gel Cream SPF 30,Shiseido,#DAAE84,3,Medium,40,gel cream,1.5,3
Synchro Skin Tinted Gel Cream SPF 30,Shiseido,#C5966F,4,Medium Dark,40,gel cream,1.5,4
Synchro Skin Tinted Gel Cream SPF 30,Shiseido,#B08256,5,Dark,40,gel cream,1.5,5
Synchro Skin Illuminator,Shiseido,#A8775A,NA,Pure Gold,35,illuminator,1.4,6
Synchro Skin Illuminator,Shiseido,#B0644D,NA,Rose Gold,35,illuminator,1.4,7
Inkstroke Eyeliner,Shiseido,#13090A,BK901,Shikkoku Black,30,eyeliner,0.15,8
Inkstroke Eyeliner,Shiseido,#363E42,GY902,Empitsu Grey,30,eyeliner,0.15,9
Inkstroke Eyeliner,Shiseido,#002C41,BL603,Konai Blue,30,eyeliner,0.15,10
Inkstroke Eyeliner,Shiseido,#2D473E,GR604,Shinrin Green,30,eyeliner,0.15,11
Inkstroke Eyeliner,Shiseido,#3E2435,VI605,Nasubi Purple,30,eyeliner,0.15,12
Inkstroke Eyeliner,Shiseido,#40231D,BR606,Kuromitsu Brown,30,eyeliner,0.15,13
Paperlight Cream Eye Color,Shiseido,#B06C8C,V1304,Shobu Purple,25,eye color,0.21,14
Paperlight Cream Eye Color,Shiseido,#5AB594,GR705,Hisui Green,25,eye color,0.21,15
Paperlight Cream Eye Color,Shiseido,#E88E82,OR707,Sango Coral,25,eye color,0.21,16
Paperlight Cream Eye Color,Shiseido,#95999C,GY908,Usuzumi Beige Gray,25,eye color,0.21,17
Rouge Rouge,Shiseido,#A01431,RD501,Ruby Copper,28,rouge,0.14,18
Rouge Rouge,Shiseido,#8F2E36,RD502,Real Ruby,28,rouge,0.14,19
Rouge Rouge,Shiseido,#730029,RD503,Bloodstone,28,rouge,0.14,20
Rouge Rouge,Shiseido,#81384C,RD504,Rouge Rum Punch,28,rouge,0.14,21
Rouge Rouge,Shiseido,#BE5362,RD305,Murrey,28,rouge,0.14,22
Rouge Rouge,Shiseido,#A73043,RD306,Liason,28,rouge,0.14,23
Rouge Rouge,Shiseido,#9A2639,RD307,First Bite,28,rouge,0.14,24
Rouge Rouge,Shiseido,#961532,RD308,Toffee Apple,28,rouge,0.14,25
Rouge Rouge,Shiseido,#CC5667,RD309,Coral Shore,28,rouge,0.14,26
Rouge Rouge,Shiseido,#C04460,RD310,Burning Up,28,rouge,0.14,27
Rouge Rouge,Shiseido,#B34757,RD311,Crime of Passion,28,rouge,0.14,28
Rouge Rouge,Shiseido,#AE1A30,RD312,Poppy,28,rouge,0.14,29
Rouge Rouge,Shiseido,#C57872,RD713,Hushed Tones,28,rouge,0.14,30
Rouge Rouge,Shiseido,#AA636C,RD714,Sweet Desire,28,rouge,0.14,31
Rouge Rouge,Shiseido,#965058,RD715,Rose Crush,28,rouge,0.14,32
Rouge Rouge,Shiseido,#A34D57,RD716,Red Queen,28,rouge,0.14,33
Rouge Rouge,Shiseido,#EB5C11,OR417,Fire Topaz,28,rouge,0.14,34
Rouge Rouge,Shiseido,#D74F97,RS418,Peruvian Pink,28,rouge,0.14,35
Rouge Rouge,Shiseido,#762A36,RD620,Curious Cassis,28,rouge,0.14,36
Rouge Rouge,Shiseido,#B48477,BR721,Rose Syrup,28,rouge,0.14,37
Rouge Rouge,Shiseido,#9B5644,BR322,Amber Afternoon,28,rouge,0.14,38
Rouge Rouge,Shiseido,#C77E65,BE323,Dusky Honey,28,rouge,0.14,39
Rouge Rouge,Shiseido,#CE8979,RD124,Desert Quartz,28,rouge,0.14,40
Total Radiance Foundation SPF 20,Shiseido,#F3CEAE,G1,Golden 1,90,foundation,1,41
Total Radiance Foundation SPF 20,Shiseido,#F2CBAC,G2,Golden 2,90,foundation,1,42
Total Radiance Foundation SPF 20,Shiseido,#F1C4A7,G3,Golden 3,90,foundation,1,43
Total Radiance Foundation SPF 20,Shiseido,#EBBB99,G4,Golden 4,90,foundation,1,44
Total Radiance Foundation SPF 20,Shiseido,#F2C9AB,N1,Neutral 1,90,foundation,1,46
Total Radiance Foundation SPF 20,Shiseido,#F2C5A8,N2,Neutral 2,90,foundation,1,47
Total Radiance Foundation SPF 20,Shiseido,#EBB593,N3,Neutral 3,90,foundation,1,48
